
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_D79P
Command line:
  gmx mdrun -v -deffnm O52681_D79P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_D79P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  3.19524e+06 Fmax= 5.66995e+08, atom= 1881
Step=  132, Dmax= 1.3e-02 nm, Epot= -5.09326e+05 Fmax= 7.88348e+03, atom= 1746
Step=  133, Dmax= 1.5e-02 nm, Epot= -5.09254e+05 Fmax= 1.56525e+04, atom= 1746
Step=  134, Dmax= 7.7e-03 nm, Epot= -5.09459e+05 Fmax= 3.89391e+03, atom= 1746
Step=  135, Dmax= 9.2e-03 nm, Epot= -5.09534e+05 Fmax= 1.02668e+04, atom= 1746
Step=  136, Dmax= 1.1e-02 nm, Epot= -5.09690e+05 Fmax= 6.69037e+03, atom= 1746
Step=  137, Dmax= 1.3e-02 nm, Epot= -5.09674e+05 Fmax= 1.37005e+04, atom= 1746
Step=  138, Dmax= 6.6e-03 nm, Epot= -5.09804e+05 Fmax= 3.50291e+03, atom= 1746
Step=  139, Dmax= 8.0e-03 nm, Epot= -5.09902e+05 Fmax= 8.70938e+03, atom= 1746
Step=  140, Dmax= 9.6e-03 nm, Epot= -5.10031e+05 Fmax= 5.97952e+03, atom= 1746
Step=  141, Dmax= 1.1e-02 nm, Epot= -5.10061e+05 Fmax= 1.15998e+04, atom= 1746
Step=  142, Dmax= 1.4e-02 nm, Epot= -5.10199e+05 Fmax= 9.54249e+03, atom= 1746
Step=  143, Dmax= 1.7e-02 nm, Epot= -5.10153e+05 Fmax= 1.57475e+04, atom= 1746
Step=  144, Dmax= 8.3e-03 nm, Epot= -5.10352e+05 Fmax= 3.11642e+03, atom= 1746
Step=  145, Dmax= 9.9e-03 nm, Epot= -5.10436e+05 Fmax= 1.21228e+04, atom= 1746
Step=  146, Dmax= 1.2e-02 nm, Epot= -5.10623e+05 Fmax= 6.10673e+03, atom= 1746
Step=  147, Dmax= 1.4e-02 nm, Epot= -5.10565e+05 Fmax= 1.58302e+04, atom= 1746
Step=  148, Dmax= 7.1e-03 nm, Epot= -5.10722e+05 Fmax= 4.85859e+03, atom= 1746
Step=  149, Dmax= 8.6e-03 nm, Epot= -5.10799e+05 Fmax= 8.26420e+03, atom= 1746
Step=  150, Dmax= 1.0e-02 nm, Epot= -5.10899e+05 Fmax= 7.53031e+03, atom= 1746
Step=  151, Dmax= 1.2e-02 nm, Epot= -5.10939e+05 Fmax= 1.13617e+04, atom= 1746
Step=  152, Dmax= 1.5e-02 nm, Epot= -5.11031e+05 Fmax= 1.13674e+04, atom= 1746
Step=  153, Dmax= 1.8e-02 nm, Epot= -5.11017e+05 Fmax= 1.58068e+04, atom= 1746
Step=  154, Dmax= 8.9e-03 nm, Epot= -5.11209e+05 Fmax= 2.23882e+03, atom= 1746
Step=  155, Dmax= 1.1e-02 nm, Epot= -5.11343e+05 Fmax= 1.41708e+04, atom= 1746
Step=  156, Dmax= 1.3e-02 nm, Epot= -5.11569e+05 Fmax= 5.43293e+03, atom= 1746
Step=  157, Dmax= 1.5e-02 nm, Epot= -5.11471e+05 Fmax= 1.81742e+04, atom= 1746
Step=  158, Dmax= 7.7e-03 nm, Epot= -5.11653e+05 Fmax= 6.36798e+03, atom= 1746
Step=  159, Dmax= 9.2e-03 nm, Epot= -5.11731e+05 Fmax= 7.73753e+03, atom= 1746
Step=  160, Dmax= 1.1e-02 nm, Epot= -5.11801e+05 Fmax= 9.24904e+03, atom= 1746
Step=  161, Dmax= 1.3e-02 nm, Epot= -5.11860e+05 Fmax= 1.10560e+04, atom= 1746
Step=  162, Dmax= 1.6e-02 nm, Epot= -5.11902e+05 Fmax= 1.33796e+04, atom= 1746
Step=  163, Dmax= 1.9e-02 nm, Epot= -5.11929e+05 Fmax= 1.58196e+04, atom= 1746
Step=  164, Dmax= 2.3e-02 nm, Epot= -5.11913e+05 Fmax= 1.92978e+04, atom= 1746
Step=  165, Dmax= 1.1e-02 nm, Epot= -5.12201e+05 Fmax= 1.75678e+03, atom= 1746
Step=  166, Dmax= 1.4e-02 nm, Epot= -5.12375e+05 Fmax= 1.93437e+04, atom= 1746
Step=  167, Dmax= 1.6e-02 nm, Epot= -5.12719e+05 Fmax= 6.10652e+03, atom= 1746
Step=  168, Dmax= 2.0e-02 nm, Epot= -5.12461e+05 Fmax= 2.41311e+04, atom= 1746
Step=  169, Dmax= 9.9e-03 nm, Epot= -5.12781e+05 Fmax= 9.04653e+03, atom= 1746
Step=  170, Dmax= 1.2e-02 nm, Epot= -5.12859e+05 Fmax= 9.22647e+03, atom= 1746
Step=  171, Dmax= 1.4e-02 nm, Epot= -5.12892e+05 Fmax= 1.25927e+04, atom= 1746
Step=  172, Dmax= 1.7e-02 nm, Epot= -5.12952e+05 Fmax= 1.36801e+04, atom= 1746
Step=  173, Dmax= 2.1e-02 nm, Epot= -5.12938e+05 Fmax= 1.76927e+04, atom= 1746
Step=  174, Dmax= 1.0e-02 nm, Epot= -5.13145e+05 Fmax= 2.03631e+03, atom= 1746
Step=  175, Dmax= 1.2e-02 nm, Epot= -5.13280e+05 Fmax= 1.69756e+04, atom= 1746
Step=  176, Dmax= 1.5e-02 nm, Epot= -5.13531e+05 Fmax= 5.68674e+03, atom= 1746
Step=  177, Dmax= 1.8e-02 nm, Epot= -5.13375e+05 Fmax= 2.16150e+04, atom= 1746
Step=  178, Dmax= 8.9e-03 nm, Epot= -5.13597e+05 Fmax= 7.96525e+03, atom= 1746
Step=  179, Dmax= 1.1e-02 nm, Epot= -5.13669e+05 Fmax= 8.33163e+03, atom= 1746
Step=  180, Dmax= 1.3e-02 nm, Epot= -5.13713e+05 Fmax= 1.13044e+04, atom= 1746
Step=  181, Dmax= 1.5e-02 nm, Epot= -5.13775e+05 Fmax= 1.21483e+04, atom= 1746
Step=  182, Dmax= 1.8e-02 nm, Epot= -5.13778e+05 Fmax= 1.60837e+04, atom= 1746
Step=  183, Dmax= 2.2e-02 nm, Epot= -5.13814e+05 Fmax= 1.76238e+04, atom= 1746
Step=  184, Dmax= 2.6e-02 nm, Epot= -5.13738e+05 Fmax= 2.29178e+04, atom= 1746
Step=  185, Dmax= 1.3e-02 nm, Epot= -5.14086e+05 Fmax= 2.67135e+03, atom= 1746
Step=  186, Dmax= 1.6e-02 nm, Epot= -5.14076e+05 Fmax= 2.17055e+04, atom= 1746
Step=  187, Dmax= 7.9e-03 nm, Epot= -5.14191e+05 Fmax= 9.48084e+03, atom= 1746
Step=  188, Dmax= 9.5e-03 nm, Epot= -5.14293e+05 Fmax= 5.17856e+03, atom= 1746
Step=  189, Dmax= 1.1e-02 nm, Epot= -5.14323e+05 Fmax= 1.23254e+04, atom= 1746
Step=  190, Dmax= 1.4e-02 nm, Epot= -5.14439e+05 Fmax= 8.77004e+03, atom= 1746
Step=  191, Dmax= 1.6e-02 nm, Epot= -5.14402e+05 Fmax= 1.64290e+04, atom= 1746
Step=  192, Dmax= 8.2e-03 nm, Epot= -5.14534e+05 Fmax= 3.84092e+03, atom= 1746
Step=  193, Dmax= 9.9e-03 nm, Epot= -5.14592e+05 Fmax= 1.13789e+04, atom= 1746
Step=  194, Dmax= 1.2e-02 nm, Epot= -5.14707e+05 Fmax= 6.78430e+03, atom= 1746
Step=  195, Dmax= 1.4e-02 nm, Epot= -5.14691e+05 Fmax= 1.51062e+04, atom= 1746
